sample.ID	qc.data.dir	group.ID	Tcell_state	tissue	extrct_mouse	Ag_presented_by	Ag_exposure_time	Ag_TagI_variant	sex	batch
E4-1	E4-1	E4	effector	lymphnode	WT	Listeria	4d	N4	male	1
E4-2	E4-2	E4	effector	lymphnode	WT	Listeria	4d	N4	female	1
LN-D4-1	LN-D4-1	LN-D4	effector	lymphnode	TCR_OVA	tumor	4d	D4	female	1
LN-D4-2	LN-D4-2	LN-D4	effector	lymphnode	TCR_OVA	tumor	4d	D4	female	1
LN-F6-1	LN-F6-1	LN-F6	effector	lymphnode	TCR_OVA	tumor	4d	F6	female	1
LN-F6-2	LN-F6-2	LN-F6	effector	lymphnode	TCR_OVA	tumor	4d	F6	female	1
LN-N4-1	LN-N4-1	LN-N4	effector	lymphnode	TCR_OVA	tumor	4d	N4	male	1
LN-N4-2	LN-N4-2	LN-N4	effector	lymphnode	TCR_OVA	tumor	4d	N4	female	1
LN-N4-3	LN-N4-3	LN-N4	effector	lymphnode	TCR_OVA	tumor	4d	N4	female	1
N1	N1	N	naive	spleen	TCR_SV40	none	none	none	female	1
N2	N2	N	naive	spleen	TCR_SV40	none	none	none	female	1
N3	N3	N	naive	spleen	TCR_SV40	none	none	none	female	1
T-D4-1	T-D4-1	T-D4	effector	tumor	TCR_OVA	tumor	14d	D4	male	2
T-D4-2	T-D4-2	T-D4	effector	tumor	TCR_OVA	tumor	14d	D4	male	2
T-D4-3	T-D4-3	T-D4	effector	tumor	TCR_OVA	tumor	14d	D4	female	2
T-F6-2	T-F6-2	T-F6	effector	tumor	TCR_OVA	tumor	14d	F6	female	2
T-F6-3	T-F6-3	T-F6	effector	tumor	TCR_OVA	tumor	14d	F6	male	2
T-N4-1	T-N4-1	T-N4	effector	tumor	TCR_OVA	tumor	14d	N4	female	2
T-N4-2	T-N4-2	T-N4	effector	tumor	TCR_OVA	tumor	14d	N4	female	2
