D4-1	D4-2	D4-3	D4-4	D4-5	F6-1	F6-2	F6-3	F6-4	F6-5	F6-6	N-1	N-2	N-3
51	52	52	51	52	52	52	52	52	52	52	52	52	52
51	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
52	52	52	52	52	52	52	52	52	52	52	52	52	52
