Geneid	E4-1	E4-2	LN-D4-1	LN-D4-2	LN-F6-1	LN-F6-2	LN-N4-1	LN-N4-2	LN-N4-3	N1	N2	N3	T-D4-1	T-D4-2	T-D4-3	T-F6-2	T-F6-3	T-N4-1	T-N4-2
4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Gm18956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7341	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19938	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1
Gm10568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rp1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	3	2	4	0	0
Gm6101	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	1	0
Gm37483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Gm37587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7357	0	2	1	0	7	12	8	11	6	3	7	5	1	1	2	0	0	5	3
Gm22307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7369	1	1	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0
Gm6085	44	43	48	70	48	40	72	56	58	76	60	47	29	31	24	13	40	26	29
Gm6119	0	1	0	2	0	2	6	2	2	2	0	0	0	0	0	0	0	0	2
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	1	2	0	1	0	4	0	0	1	4	0	0	0	0	0	0	0	0
Gm6123	59	60	41	36	48	41	47	44	52	54	43	57	26	15	23	29	32	38	18
